year,month,ccp_index
2016,1,102.5
2016,2,103.8
2016,3,103.4
2016,4,102.4
2016,5,102.3
2016,6,102.3
2016,7,102.7
2016,8,102.8
2016,9,103.1
2016,10,103.3
2016,11,103.6
2016,12,103.8
2017,1,103.8
2017,2,103.7
2017,3,103.9
2017,4,104.5
2017,5,104.3
2017,6,104.3
2017,7,104.7
2017,8,104.8
2017,9,104.6
2017,10,104.9
2017,11,105.2
2017,12,105.6
2018,1,105.5
2018,2,106.9
2018,3,106.6
2018,4,106.5
2018,5,106.5
2018,6,106.8
2018,7,107.2
2018,8,107.2
2018,9,107.4
2018,10,107.7
2018,11,107.9
2018,12,108.3
2019,1,108.1
2019,2,109.1
2019,3,108.8
2019,4,109.6
2019,5,109.5
2019,6,110.2
2019,7,110.7
2019,8,110.9
2019,9,110.9
2019,10,111
2019,11,111.1
2019,12,111.4
2020,1,109.6
2020,2,111.5
2020,3,111.3
2020,4,111.6
2020,5,111.1
2020,6,111
2020,7,108.2
2020,8,110.4
2020,9,108.4
2020,10,110.9
2020,11,110.9
2020,12,110.7