year,month,Open,High,Low,Close,Adj Close,Volume
2016,1,21782.61914,21794.83984,18534.30078,19683.10938,19683.10938,40565390400
2016,2,19770.96094,19770.96094,18278.80078,19111.92969,19111.92969,28652196000
2016,3,19259.99023,20872.55078,19108.30078,20776.69922,20776.69922,34067509300
2016,4,20786.17969,21654.07031,20045.4707,21067.05078,21067.05078,32340640800
2016,5,21061.76953,21061.76953,19594.60938,20815.08984,20815.08984,32345943100
2016,6,20726.5293,21352.36914,19662.69922,20794.36914,20794.36914,39021655300
2016,7,20967.4707,22300.50977,20304.39063,21891.36914,21891.36914,31713817500
2016,8,22027.65039,23193.90039,21725.38086,22976.88086,22976.88086,38561200800
2016,9,22897.16016,24364,22843.41992,23297.15039,23297.15039,39728207400
2016,10,23652.83008,24064.5,22775.28906,22934.53906,22934.53906,26308577200
2016,11,23015.06055,23268.05078,21957.71094,22789.76953,22789.76953,34929744700
2016,12,22948.65039,23076.24023,21488.82031,22000.56055,22000.56055,35336630000
2017,1,21993.35938,23397.08984,21883.82031,23360.7793,23360.7793,25822815800
2017,2,23211.88086,24216.5293,22997.46094,23740.73047,23740.73047,41223714800
2017,3,23849.2207,24656.65039,23438.85938,24111.58984,24111.58984,42389134200
2017,4,24236.56055,24717.43945,23723.86914,24615.13086,24615.13086,27864260500
2017,5,24773.80078,25817.94922,24358.7207,25660.65039,25660.65039,33998951700
2017,6,25736.34961,26090.33008,25557.80078,25764.58008,25764.58008,35906269800
2017,7,25654.76953,27324.38086,25199.85938,27323.99023,27323.99023,37177052800
2017,8,27326.03906,28127.90039,26863.71094,27970.30078,27970.30078,47152524300
2017,9,28015.2207,28248.11914,27300.36914,27554.30078,27554.30078,34006627000
2017,10,27884.21094,28798.7793,27737.38086,28245.53906,28245.53906,36453138400
2017,11,28387.55078,30199.68945,28137.76953,29177.34961,29177.34961,42264399600
2017,12,29261.31055,29997.96094,28134.92969,29919.15039,29919.15039,33816384100
2018,1,30028.28906,33484.07813,30028.28906,32887.26953,32887.26953,65422943900
2018,2,32950.30078,33048.03906,29129.25977,30844.7207,30844.7207,51985739100
2018,3,30476.99023,31978.14063,29819.63086,30093.38086,30093.38086,44458615200
2018,4,29927.88086,31094.10938,29518.68945,30808.44922,30808.44922,34866803326
2018,5,30782.21094,31592.56055,29791.86914,30468.56055,30468.56055,37856201400
2018,6,30548.7793,31521.13086,28169.09961,28955.10938,28955.10938,42599949800
2018,7,28617,29083.40039,27745.84961,28583.00977,28583.00977,37645679300
2018,8,28756.7207,28772.80078,26871.10938,27888.55078,27888.55078,37508015600
2018,9,27809.44922,28031.81055,26219.56055,27788.51953,27788.51953,35529393300
2018,10,27716.16016,27716.16016,24540.63086,24979.68945,24979.68945,41220417100
2018,11,25228.75,26923.33008,25092.30078,26506.75,26506.75,34971908500
2018,12,27185.66016,27260.43945,25313.75,25845.69922,25845.69922,29876011600
2019,1,25824.43945,28010.90039,24896.86914,27942.4707,27942.4707,38581138000
2019,2,28193.2793,29014.18945,27534.19922,28633.17969,28633.17969,31422096300
2019,3,28716.59961,29486.15039,28201.08984,29051.35938,29051.35938,38996518300
2019,4,29383.7207,30280.11914,29383.7207,29699.10938,29699.10938,35432393100
2019,5,29643.05078,30081.55078,26850.26953,26901.08984,26901.08984,44724478400
2019,6,26909.71094,28634.48047,26671.90039,28542.61914,28542.61914,33476138400
2019,7,28904.03906,29007.98047,27701.43945,27777.75,27777.75,25833237300
2019,8,27582.21094,27754.03906,24899.92969,25724.73047,25724.73047,41903210600
2019,9,25627.83008,27366.44922,25498.10938,26092.26953,26092.26953,34931280900
2019,10,25901.4707,27027.56055,25521.94922,26906.7207,26906.7207,31528918300
2019,11,26806.43945,27900.80078,26203.9707,26346.49023,26346.49023,31935674700
2019,12,26475.33984,28418.65039,25995.15039,28189.75,28189.75,26545016200
2020,1,28249.36914,29174.91992,26295.49023,26312.63086,26312.63086,32702114800
2020,2,26189.60938,28055.58008,25989.41016,26129.92969,26129.92969,38617191800
2020,3,26077.73047,26805.58008,21139.25977,23603.48047,23603.48047,70686647300
2020,4,23365.90039,24855.4707,22756.13086,24643.58984,24643.58984,36255335600
2020,5,23895.10938,24766.83008,22519.73047,22961.4707,22961.4707,37135966500
2020,6,23539.91016,25303.7793,23539.91016,24427.18945,24427.18945,40112436500
2020,7,24563.57031,26782.61914,24526.91016,24595.34961,24595.34961,48701717400
2020,8,24566.81055,25847.10938,24167.78906,25177.05078,25177.05078,35256937100
2020,9,25085.66992,25254.14063,23124.25,23459.05078,23459.05078,38637026300
2020,10,24039.39063,24970.58984,23674.51953,24107.41992,24107.41992,37826792700
2020,11,24274.83008,27040.41016,24232.66016,26341.49023,26341.49023,56229675200
2020,12,26422.71094,27340.99023,25998.86914,27231.13086,27231.13086,54554133600
2021,1,27087.13086,30191.16016,27079.24023,28283.71094,28283.71094,73416364000
2021,2,28457.84961,31183.35938,28382.25977,28980.21094,28980.21094,55941235800
2021,3,29457.89063,29912,27505.08008,28378.34961,28378.34961,67911393800