year,month,average_price_per_sqft
2016,1,9466
2016,2,9542
2016,3,9836
2016,4,9607
2016,5,9995
2016,6,9935
2016,7,10055
2016,8,10256
2016,9,10399
2016,10,10613
2016,11,9505
2016,12,9355
2017,1,11444
2017,2,12020
2017,3,12104
2017,4,12627
2017,5,12421
2017,6,12606
2017,7,12677
2017,8,12356
2017,9,12755
2017,10,13234
2017,11,13415
2017,12,14067
2018,1,13930
2018,2,14067
2018,3,13983
2018,4,14235
2018,5,14480
2018,6,14825
2018,7,14825
2018,8,15070
2018,9,14785
2018,10,14969
2018,11,13918
2018,12,13270
2019,1,13377
2019,2,14457
2019,3,14738
2019,4,14750
2019,5,14923
2019,6,14784
2019,7,14697
2019,8,14923
2019,9,13932
2019,10,14744
2019,11,14586
2019,12,14468
2020,1,14820
2020,2,14248
2020,3,14257
2020,4,14403
2020,5,14636
2020,6,15392
2020,7,14789
2020,8,14601
2020,9,14634
2020,10,14506
2020,11,14554
2020,12,14622
2021,1,14455
2021,2,14455
2021,3,14455