year,month,imports,total_exports
2016,1,317354,299872
2016,2,237633,204484
2016,3,322388,275360
2016,4,316301,285274
2016,5,317728,291500
2016,6,342114,296519
2016,7,337773,304465
2016,8,341766,309670
2016,9,367724,328019
2016,10,350949,313726
2016,11,374987,340935
2016,12,385817,340340
2017,1,308643,296299
2017,2,297978,241707
2017,3,364163,321895
2017,4,339520,305389
2017,5,338753,303105
2017,6,377684,329406
2017,7,356190,326589
2017,8,368190,332663
2017,9,403413,358705
2017,10,378694,334735
2017,11,407129,367423
2017,12,420586,360688
2018,1,381971,350046
2018,2,288476,245744
2018,3,403236,347732
2018,4,377173,330224
2018,5,394618,351368
2018,6,394471,340334
2018,7,406234,359125
2018,8,428452,376303
2018,9,422676,374961
2018,10,428142,383651
2018,11,409284,364320
2018,12,391187,339938
2019,1,359000,348701
2019,2,277508,228674
2019,3,402883,343641
2019,4,356609,321517
2019,5,377774,343065
2019,6,364794,309607
2019,7,370790,338618
2019,8,380777,352727
2019,9,379325,347685
2019,10,379118,348528
2019,11,385438,359270
2019,12,383773,351276
2020,1,299991,269396
2020,2,277108,238558
2020,3,358354,323647
2020,4,332799,309462
2020,5,331341,317610
2020,6,338949,305608
2020,7,358282,328466
2020,8,359110,344484
2020,9,392042,379348
2020,10,381413,344657
2020,11,405177,379568
2020,12,437947,392216