,dates,hsi_average
0,2020-01-02,0.010412635735712295
1,2020-01-03,-0.013072522445616973
2,2020-01-06,-0.0035412263031083966
3,2020-01-07,-0.0010799381561983092
4,2020-01-08,0.003155041736465774
5,2020-01-09,0.006815848570909439
6,2020-01-10,-0.0009398665299588078
7,2020-01-13,0.0063453347066307715
8,2020-01-14,-0.009070083745858085
9,2020-01-15,-0.004066324559086028
10,2020-01-16,0.0026702632693940557
11,2020-01-17,0.002354746394978877
12,2020-01-20,-0.012794660770376741
13,2020-01-21,-0.016311454493291026
14,2020-01-22,0.007986024665232159
15,2020-01-23,-0.007137411729915777
16,2020-01-24,0.0005090563580132329
17,2020-01-29,0.0021803852813940166
18,2020-01-30,-0.021511853749135095
19,2020-01-31,-0.01662998025678443
20,2020-02-03,0.006390744182300351
21,2020-02-04,0.006957673147430685
22,2020-02-05,-0.003073396616087179
23,2020-02-06,0.011745186766186367
24,2020-02-07,0.0017542675980970147
25,2020-02-10,0.005506740918455321
26,2020-02-11,0.0025307198769728414
27,2020-02-12,0.0038401921413787135
28,2020-02-13,-0.00800075795109776
29,2020-02-14,0.004225456492655339
30,2020-02-17,0.006946759820029549
31,2020-02-18,-0.008510283300019808
32,2020-02-19,0.006161200954901944
33,2020-02-20,-0.005694441249877698
34,2020-02-21,-0.0051602190195462905
35,2020-02-24,-0.010494930118946337
36,2020-02-25,0.006393134736611912
37,2020-02-26,0.00817940553230638
38,2020-02-27,0.00940282788660919
39,2020-02-28,-0.004538480878668351
40,2020-03-02,0.008204288291359711
41,2020-03-03,-0.0050838366935655275
42,2020-03-04,-0.0037797999931585315
43,2020-03-05,0.01592934694058483
44,2020-03-06,-0.009512518919715593
45,2020-03-09,-0.0037223888377135757
46,2020-03-10,0.0042249241248520425
47,2020-03-11,-0.008969046066510682
48,2020-03-12,-0.014137573034252542
49,2020-03-13,0.06721294527303465
50,2020-03-16,-0.010903263574592885
51,2020-03-17,0.011389159168443378
52,2020-03-18,-0.03177295458497873
53,2020-03-19,-0.0230521227839847
54,2020-03-20,0.029697944466030857
55,2020-03-23,0.0
56,2020-03-24,0.007375015149205348
57,2020-03-25,0.01166496151096
58,2020-03-26,-0.0106965495425865
59,2020-03-27,-0.011954138182030935
60,2020-03-30,0.006700871959225142
61,2020-03-31,-0.0004145576912610544
62,2020-04-01,-0.011988039127196993
63,2020-04-02,0.01932645931264297
64,2020-04-03,0.0070714911519594355
65,2020-04-06,0.008077186425173483
66,2020-04-07,0.006650809094492204
67,2020-04-08,-0.00913348957480553
68,2020-04-09,0.004921557801104869
69,2020-04-14,0.0036057345209071475
70,2020-04-15,-0.014470268005364826
71,2020-04-16,-0.0007908280851278307
72,2020-04-17,-0.0031822151792039377
73,2020-04-20,-0.00708227750383534
74,2020-04-21,-0.018735238496599325
75,2020-04-22,0.014987775410039
76,2020-04-23,-0.0002639330553064755
77,2020-04-24,-0.0005544538559894368
78,2020-04-27,0.010381756769387546
79,2020-04-28,0.007165318765396663
80,2020-04-29,-0.005746371954578099
81,2020-05-04,-0.011772643068305687
82,2020-05-05,0.004752135048771869
83,2020-05-06,0.011289622800383554
84,2020-05-07,-0.0058115662086720855
85,2020-05-08,0.0015215144909986277
86,2020-05-11,0.005389452021162237
87,2020-05-12,-0.004611228857049019
88,2020-05-13,0.0028463752032676735
89,2020-05-14,-0.008666672300091684
90,2020-05-15,-0.001561127938904675
91,2020-05-18,0.008345720357026045
92,2020-05-19,-0.004141354930554725
93,2020-05-20,-0.0025733323060549676
94,2020-05-21,-0.010146429571865215
95,2020-05-22,-0.03480122313096732
96,2020-05-25,0.009968494850010631
97,2020-05-26,0.008031622683129097
98,2020-05-27,-0.009091217161283721
99,2020-05-28,-0.0031883066079912096
100,2020-05-29,0.007917144207337357
101,2020-06-01,0.00818224766881113
102,2020-06-02,0.008561582126919499
103,2020-06-03,0.0009076280698646988
104,2020-06-04,-0.01126200560706807
105,2020-06-05,0.015672775649832927
106,2020-06-08,-0.009644286523745901
107,2020-06-09,0.006071263077584578
108,2020-06-10,-0.005135179223968235
109,2020-06-11,-0.02070936754378933
110,2020-06-12,0.015914319106801297
111,2020-06-15,-0.008937861554609416
112,2020-06-16,0.0010666704789768894
113,2020-06-17,0.004844134097201423
114,2020-06-18,0.0032243051321297947
115,2020-06-19,0.01109946502809484
116,2020-06-22,-0.0007007942839520339
117,2020-06-23,0.014909491813790402
118,2020-06-24,-0.010117451027094788
119,2020-06-26,-0.005991997384654584
120,2020-06-29,-0.013251830863314783
121,2020-06-30,-0.0016777169447735143
122,2020-07-02,0.022823194409149473
123,2020-07-03,0.0021264366619094532
124,2020-07-06,0.031066915120026153
125,2020-07-07,-0.022408570525711807
126,2020-07-08,0.0019391491230540355
127,2020-07-09,-0.005349702214956234
128,2020-07-10,-0.007881030386897834
129,2020-07-13,-0.0029665453834370036
130,2020-07-14,-0.007219279703746052
131,2020-07-15,-0.01572879177038496
132,2020-07-16,-0.022650666107700515
133,2020-07-17,-0.0021036710535872914
134,2020-07-20,0.0015344220370982593
135,2020-07-21,0.008203842870096796
136,2020-07-22,-0.020226998636376965
137,2020-07-23,0.0010738514955094432
138,2020-07-24,-0.01339534785044602
139,2020-07-27,-0.012312390719701425
140,2020-07-28,-0.00681482736671171
141,2020-07-29,0.0069861310435265995
142,2020-07-30,-0.010754946431689252
143,2020-07-31,-0.006139640295196475
144,2020-08-03,-0.004423841967301063
145,2020-08-04,0.011434657544280592
146,2020-08-05,0.002922501733899085
147,2020-08-06,-0.01074777397155436
148,2020-08-07,-0.015164976594446256
149,2020-08-10,2.4998133152235745e-05
150,2020-08-11,0.00927095380964102
151,2020-08-12,0.015094866862503033
152,2020-08-13,-0.01017455514528128
153,2020-08-14,0.00440964286777054
154,2020-08-17,0.005356935217346272
155,2020-08-18,-0.004066976675423316
156,2020-08-19,-0.007102761644239913
157,2020-08-20,-0.010535034972181511
158,2020-08-21,0.004267142239350323
159,2020-08-24,0.007840991976659373
160,2020-08-25,-0.003938311240476442
161,2020-08-26,-0.001121498188107711
162,2020-08-27,-0.0074056084564712975
163,2020-08-28,0.0036039574523141246
164,2020-08-31,-0.021585141899053778
165,2020-09-01,0.003953639181607589
166,2020-09-02,-0.0047452535083706265
167,2020-09-03,-0.0007747885310382486
168,2020-09-04,0.001080248599690937
169,2020-09-07,-0.0012740796775367084
170,2020-09-08,-0.006492565476282881
171,2020-09-09,0.007141665638336058
172,2020-09-10,-0.011039294652015188
173,2020-09-11,0.006187409006037352
174,2020-09-14,0.002899992471784894
175,2020-09-15,0.00451266967231028
176,2020-09-16,-0.0039610954260107184
177,2020-09-17,-0.01359843448663094
178,2020-09-18,0.003046589483622669
179,2020-09-21,-0.021778412832024092
180,2020-09-22,-0.005151930077156879
181,2020-09-23,0.0017463574084590051
182,2020-09-24,-0.009633843258803211
183,2020-09-25,-0.00812482324472002
184,2020-09-28,0.008244296375257582
185,2020-09-29,-0.013105159946071823
186,2020-09-30,-0.003815035076625823
187,2020-10-05,-0.011298594559320281
188,2020-10-06,0.0035755889892947297
189,2020-10-07,0.010128018703289384
190,2020-10-08,-0.0028842070946020733
191,2020-10-09,-0.009229437892123342
192,2020-10-12,0.017856267226873408
193,2020-10-14,-0.00571408057435402
194,2020-10-15,-0.015293664339939879
195,2020-10-16,0.00795137823189725
196,2020-10-19,-0.0009431922083084874
197,2020-10-20,-8.552796828152374e-05
198,2020-10-21,0.002384271071223959
199,2020-10-22,0.0036369931585333746
200,2020-10-23,0.005879766509140728
201,2020-10-27,-0.00212485153991586
202,2020-10-28,-0.0026132027840945465
203,2020-10-29,0.012210363297989746
204,2020-10-30,-0.0174634092056275
205,2020-11-02,0.007628464829785675
206,2020-11-03,0.010132619468865534
207,2020-11-04,0.0038782018959257767
208,2020-11-05,0.007647168843391466
209,2020-11-06,-0.0014682504678446093
210,2020-11-09,-0.0054132906556055805
211,2020-11-10,-0.006518030488004611
212,2020-11-11,6.851293129448779e-06
213,2020-11-12,-0.009086140955991688
214,2020-11-13,0.0016182429084545095
215,2020-11-16,0.0007434776230646244
216,2020-11-17,-0.0037714373433877495
217,2020-11-18,0.004163116743635131
218,2020-11-19,-0.00391671523532326
219,2020-11-20,0.001691602349264444
220,2020-11-23,-0.0065112984706309504
221,2020-11-24,-0.0015824291108282715
222,2020-11-25,-0.005600714253463853
223,2020-11-26,0.004652483822028264
224,2020-11-27,0.005089579117959567
225,2020-11-30,-0.019062784203810388
226,2020-12-01,0.005486520680747238
227,2020-12-02,-0.005157047172335086
228,2020-12-03,0.003946903832541118
229,2020-12-04,0.0009074463046312615
230,2020-12-07,-0.01353638320023126
231,2020-12-08,-0.005887641879259348
232,2020-12-09,-0.0002859282556571395
233,2020-12-10,0.0028604266217767543
234,2020-12-11,-0.004818682151919861
235,2020-12-14,-0.0049988530349284925
236,2020-12-15,-0.008010946223159707
237,2020-12-16,0.0014790436779162101
238,2020-12-17,0.002628542210196615
239,2020-12-18,-0.005699355759095367
240,2020-12-21,-0.004387886473629032
241,2020-12-22,-0.005389379167884854
242,2020-12-23,0.009967762303070893
243,2020-12-24,0.001658566726986497
244,2020-12-28,0.0009989862288344157
245,2020-12-29,0.002946005746469652
246,2020-12-30,0.01693194036594952
247,2020-12-31,0.0013363514896724527
248,2021-01-04,0.014238484300987316
249,2021-01-05,0.013508117026533274
250,2021-01-06,0.0028595214467645068
251,2021-01-07,-0.006040564569645978
252,2021-01-08,0.008982668949904836
253,2021-01-11,-0.0034195055139343332
254,2021-01-12,0.013711083894020645
255,2021-01-13,-0.002604114203775093
256,2021-01-14,0.003123763102221615
257,2021-01-15,0.00632133200375267
258,2021-01-19,0.01862907936467027
259,2021-01-20,0.0056406737369071825
260,2021-01-21,-0.0008019400454284886
261,2021-01-22,-0.012123119372499316
262,2021-01-25,0.016231563238370446
263,2021-01-26,-0.01677959278906255
264,2021-01-27,-0.008764572239591583
265,2021-01-28,-0.012591456744321267
266,2021-01-29,-0.018818614047397778
267,2021-02-01,0.015286108107117578
268,2021-02-02,-0.004405316802464526
269,2021-02-03,6.997961260619406e-05
270,2021-02-04,0.0006860951999383455
271,2021-02-05,-0.0005599763159743342
